"","x"
"theta1",5.14811827389565
"theta2",1.80033727827842
"theta3",0.463150513023534
"theta4",-0.198449458193675
"theta5",0.4459344245841
"theta6",0.547421394346144
"theta7",0.464815554379856
"theta8",0.210300350841431
"theta9",-0.432633167362582
"theta10",0.322885999664159
"theta11",-0.218703131780681
"theta12",0.146214962199752
"theta13",-1.58913703510735
"theta14",0.341893354830457
"theta15",-0.0855264179481713
"betaHat1",-1.18787180901906
"betaHat2",-0.10477302828172
"betaHat3",-0.264741652437936
"betaHat4",-1.52727285479261
"betaHat5",-0.0860470849849438
"betaHat6",0.0578942789786106
"f1Hat1",0.0565213060584297
"f1Hat2",-0.0361655385671069
"f1Hat3",-0.128813799571921
"f1Hat4",-0.218151074150837
"f1Hat5",-0.302000905899801
"f1Hat6",-0.380423373096849
"f1Hat7",-0.453686326101856
"f1Hat8",-0.519685088729983
"f1Hat9",-0.57398344229305
"f1Hat10",-0.614194626245374
"f1Hat11",-0.640925166009824
"f1Hat12",-0.654357298180101
"f1Hat13",-0.656502723492176
"f1Hat14",-0.650550006959728
"f1Hat15",-0.640282243269663
"f1Hat16",-0.627754818135183
"f1Hat17",-0.61316394006597
"f1Hat18",-0.597301638781134
"f1Hat19",-0.580212003141664
"f1Hat20",-0.559157165289165
"f1Hat21",-0.530344751799227
"f1Hat22",-0.492321852713041
"f1Hat23",-0.443470329741409
"f1Hat24",-0.38249416100857
"f1Hat25",-0.309869266843202
"f1Hat26",-0.228396393454682
"f1Hat27",-0.140204935782469
"f1Hat28",-0.0453842667210151
"f1Hat29",0.0553597542391324
"f1Hat30",0.160515161024667
"f1Hat31",0.268713895169166
"f1Hat32",0.379221511917458
"f1Hat33",0.490215250740144
"f1Hat34",0.60007948521633
"f1Hat35",0.709240547224862
"f1Hat36",0.818278337555567
"f1Hat37",0.927691972342654
"f1Hat38",1.03583932380073
"f1Hat39",1.13709485549617
"f1Hat40",1.22602890147092
"f1Hat41",1.30000706091234
"f1Hat42",1.35820677626271
"f1Hat43",1.40085424792395
"f1Hat44",1.43012311100182
"f1Hat45",1.44936934556887
"f1Hat46",1.45838477417277
"f1Hat47",1.45533163532954
"f1Hat48",1.43994863704354
"f1Hat49",1.41279428215411
"f1Hat50",1.37312361204832
"f1Hat51",1.31970126170266
"f1Hat52",1.25270090768483
"f1Hat53",1.17346913302631
"f1Hat54",1.08339041620028
"f1Hat55",0.984860478619383
"f1Hat56",0.881765913230767
"f2Hat1",2.83530300695086
"f2Hat2",2.8348781860731
"f2Hat3",2.83458726521311
"f2Hat4",2.83540992680775
"f2Hat5",2.83819772341704
"f2Hat6",2.84358203205772
"f2Hat7",2.85142517210216
"f2Hat8",2.86119761113076
"f2Hat9",2.87291320965939
"f2Hat10",2.88758102607912
"f2Hat11",2.90667012432824
"f2Hat12",2.93179266173136
"f2Hat13",2.96436786485029
"f2Hat14",3.00496462294607
"f2Hat15",3.05310199776223
"f2Hat16",3.10811297510765
"f2Hat17",3.16886871649755
"f2Hat18",3.23397510815837
"f2Hat19",3.30151228747505
"f2Hat20",3.36959798986204
"f2Hat21",3.43610023217327
"f2Hat22",3.49852990368944
"f2Hat23",3.55494861960664
"f2Hat24",3.60343245037473
"f2Hat25",3.64205549291226
"f2Hat26",3.66973017919118
"f2Hat27",3.68640740740248
"f2Hat28",3.69307149713445
"f2Hat29",3.69092623623376
"f2Hat30",3.68133500587366
"f2Hat31",3.66596728218782
"f2Hat32",3.64655480026144
"f2Hat33",3.62503237066798
"f2Hat34",3.60352364719058
"f2Hat35",3.58435591309862
"f2Hat36",3.56931596890601
"f2Hat37",3.55883836862537
"f2Hat38",3.552748928922
"f2Hat39",3.55074924671167
"f2Hat40",3.55253798456289
"f2Hat41",3.55768194112752
"f2Hat42",3.56525830568864
"f2Hat43",3.57391244693337
"f2Hat44",3.58197270170802
"f2Hat45",3.58819189148187
"f2Hat46",3.59163119153394
"f2Hat47",3.5913762121815
"f2Hat48",3.58621584210941
"f2Hat49",3.57468681526237
"f2Hat50",3.55572065652184
"f2Hat51",3.52888780690508
"f2Hat52",3.49428103836881
"f2Hat53",3.45270633454287
"f2Hat54",3.40539759833623
"f2Hat55",3.35395538193856
"f2Hat56",3.30037075246832
"sdBeta1",2.32848406128401
"sdBeta2",0.366557989789214
"sdBeta3",0.263321756732047
"sdBeta4",2.06176191460716
"sdBeta5",0.324562693190213
"sdBeta6",0.233242909177716
"sdF11",0.183364075691183
"sdF12",0.177649602233046
"sdF13",0.172950188235404
"sdF14",0.169334317668732
"sdF15",0.166777649613434
"sdF16",0.16516619669616
"sdF17",0.164325227850317
"sdF18",0.164060396204976
"sdF19",0.164188659455179
"sdF110",0.164561913628746
"sdF111",0.165067556373656
"sdF112",0.165629987437953
"sdF113",0.166201050294311
