"","x"
"theta1",0.793645980965277
"theta2",0.176996986266384
"theta3",0.692120526845456
"theta4",-0.299644841101021
"theta5",0.622892534856366
"theta6",0.667553898896358
"theta7",0.668987796195096
"theta8",0.217208004792314
"theta9",-0.922207865507603
"theta10",0.157038912808037
"theta11",-0.070403098551003
"theta12",0.261003415867673
"theta13",-2.28101832972004
"theta14",1.42647082466383
"theta15",-0.553302145320908
"theta16",0.317645515325149
"betaHat1",-0.0424868200846111
"betaHat2",-0.0207753822334933
"betaHat3",-0.142414449475994
"betaHat4",-0.217596495543142
"betaHat5",-0.015032895353873
"betaHat6",0.0769451426596712
"f1Hat1",0.0979352650033552
"f1Hat2",0.0116077709519358
"f1Hat3",-0.0743636101919541
"f1Hat4",-0.158365412986388
"f1Hat5",-0.238734332196811
"f1Hat6",-0.313996871756152
"f1Hat7",-0.38321221192992
"f1Hat8",-0.445717446481175
"f1Hat9",-0.500541968276928
"f1Hat10",-0.547168305421423
"f1Hat11",-0.585664415682557
"f1Hat12",-0.616234284817396
"f1Hat13",-0.639236501241002
"f1Hat14",-0.655111613595993
"f1Hat15",-0.664420954108505
"f1Hat16",-0.667687674553203
"f1Hat17",-0.665071055463885
"f1Hat18",-0.656860804399829
"f1Hat19",-0.643012585057345
"f1Hat20",-0.622598902864501
"f1Hat21",-0.594437871971494
"f1Hat22",-0.557680513120897
"f1Hat23",-0.511565664989865
"f1Hat24",-0.455806543876361
"f1Hat25",-0.390506618985026
"f1Hat26",-0.315952512676889
"f1Hat27",-0.232206951734911
"f1Hat28",-0.139478338682151
"f1Hat29",-0.0384485799730008
"f1Hat30",0.0697552351548438
"f1Hat31",0.183594612440472
"f1Hat32",0.301826340327422
"f1Hat33",0.422991622148782
"f1Hat34",0.545285430098469
"f1Hat35",0.667191534332252
"f1Hat36",0.787140281513737
"f1Hat37",0.903535914730236
"f1Hat38",1.01435672877622
"f1Hat39",1.11682813897929
"f1Hat40",1.20814690801084
"f1Hat41",1.28621252773659
"f1Hat42",1.34973374757514
"f1Hat43",1.39810427554327
"f1Hat44",1.43154447326287
"f1Hat45",1.45087046224631
"f1Hat46",1.45667245874091
"f1Hat47",1.4494456174972
"f1Hat48",1.42966462052548
"f1Hat49",1.39797478637125
"f1Hat50",1.35519378440714
"f1Hat51",1.30241570668191
"f1Hat52",1.24119386838657
"f1Hat53",1.17347371424541
"f1Hat54",1.10110290942324
"f1Hat55",1.02577040605662
"f1Hat56",0.948914240926694
"f2Hat1",2.72872363462002
"f2Hat2",2.74076527832963
"f2Hat3",2.75290535291544
"f2Hat4",2.76548030729094
"f2Hat5",2.77887360409054
"f2Hat6",2.79345515887895
"f2Hat7",2.80955785077427
"f2Hat8",2.82751652901502
"f2Hat9",2.84763474057195
"f2Hat10",2.87023802983752
"f2Hat11",2.89563691074957
"f2Hat12",2.9240915090735
"f2Hat13",2.95582547778071
"f2Hat14",2.99088646749684
"f2Hat15",3.02915044651176
"f2Hat16",3.07038138224505
"f2Hat17",3.11415080189622
"f2Hat18",3.15990027680732
"f2Hat19",3.20697597473031
"f2Hat20",3.25466174109469
"f2Hat21",3.30211891777828
"f2Hat22",3.34842824089473
"f2Hat23",3.39265598603944
"f2Hat24",3.43384476916012
"f2Hat25",3.47112253552479
"f2Hat26",3.50378169311525
"f2Hat27",3.5313265684376
"f2Hat28",3.55352390897358
"f2Hat29",3.57031812240099
"f2Hat30",3.58188566766931
"f2Hat31",3.58857968727987
"f2Hat32",3.59093777169896
"f2Hat33",3.58966238196654
"f2Hat34",3.5855103548112
"f2Hat35",3.57920310840775
"f2Hat36",3.57139026734255
"f2Hat37",3.56254146253346
"f2Hat38",3.55305203689761
"f2Hat39",3.54324048510598
"f2Hat40",3.53339785141112
"f2Hat41",3.52370633018374
"f2Hat42",3.51414703074291
"f2Hat43",3.50456864219411
"f2Hat44",3.49465445922564
"f2Hat45",3.48404410501401
"f2Hat46",3.47243557127869
"f2Hat47",3.45952380368455
"f2Hat48",3.44499189530397
"f2Hat49",3.42853492856193
"f2Hat50",3.4099392107412
"f2Hat51",3.38917503826639
"f2Hat52",3.36638494147645
"f2Hat53",3.34184091086458
"f2Hat54",3.31593423850737
"f2Hat55",3.28909840698473
"f2Hat56",3.26179451305073
"sdBeta1",1.87973692538492
"sdBeta2",0.301956205892475
"sdBeta3",0.203476699927787
"sdBeta4",1.70086950118825
"sdBeta5",0.272726433639311
"sdBeta6",0.183076391263255
"sdF11",0.147239531744191
"sdF12",0.14220477241156
"sdF13",0.138189658993321
"sdF14",0.13525273534881
"sdF15",0.133321068223138
"sdF16",0.132215247047556
"sdF17",0.131706255841466
"sdF18",0.131576483436734
"sdF19",0.131651721884277
"sdF110",0.131814844286292
"sdF111",0.131996519852529
"sdF112",0.13216411919219
"sdF113",0.132304817625903
"sdF114",0.132422084488057
"sdF115",0.132520121078055
"sdF116",0.132604374154148
"sdF117",0.132683575745663
"sdF118",0.132762300297436
"sdF119",0.132839576270603
"sdF120",0.132910495033802
"sdF121",0.132977101397356
"sdF122",0.133037863371638
"sdF123",0.133090214960109
"sdF124",0.133132508992148
"sdF125",0.133162958543236
"sdF126",0.133180422743428
"sdF127",0.13318367670992
"sdF128",0.133172121467037
"sdF129",0.133145603484087
"sdF130",0.133105284213018
"sdF131",0.133053634835322
"sdF132",0.13299249023154
"sdF133",0.132920967329475
"sdF134",0.132839827032301
"sdF135",0.132750051050032
"sdF136",0.132654381228427
"sdF137",0.132556435272347
"sdF138",0.132457948199346
"sdF139",0.132367248081121
"sdF140",0.132285759424926
"sdF141",0.132211672274594
"sdF142",0.132141970725813
"sdF143",0.132077312299861
"sdF144",0.132016790697778
"sdF145",0.1319529887359
"sdF146",0.131882928678547
"sdF147",0.131803176821462
"sdF148",0.131722650508298
"sdF149",0.13167185619878
"sdF150",0.131719559158322
"sdF151",0.131982444942234
"sdF152",0.132633739321423
"sdF153",0.133889273486921
"sdF154",0.135976335782711
"sdF155",0.139071313994546
"sdF156",0.143247004050271
"sdF21",0.12924609269377
"sdF22",0.124557882710019
"sdF23",0.120876216529308
"sdF24",0.118261456454408
"sdF25",0.116625045793903
"sdF26",0.11576255657367
"sdF27",0.11542321679515
"sdF28",0.115381305223358
"sdF29",0.115469833164405
"sdF210",0.11558991985693
"sdF211",0.115694651994552
"sdF212",0.115772843263658
"sdF213",0.115828334416914
"sdF214",0.11587567703874
"sdF215",0.115924324189264
"sdF216",0.115981233727585
"sdF217",0.116054906535116
"sdF218",0.116147903680846
"sdF219",0.116256369983467
"sdF220",0.116372991568548
"sdF221",0.116498935740678
"sdF222",0.116632300344484
"sdF223",0.116770442777239
"sdF224",0.116912190210202
"sdF225",0.117056061547188
"sdF226",0.117200748900887
"sdF227",0.117345059137061
"sdF228",0.117488178945282
"sdF229",0.117629691586426
"sdF230",0.117770177969431
"sdF231",0.117911435578089
"sdF232",0.118054254512434
"sdF233",0.118196739258055
"sdF234",0.118338509331508
"sdF235",0.118478917145957
"sdF236",0.118618736070038
"sdF237",0.118759176902405
"sdF238",0.11889959820559
"sdF239",0.119046858952165
"sdF240",0.119200571204969
"sdF241",0.11935727212353
"sdF242",0.119512574968366
"sdF243",0.119666664640492
"sdF244",0.119818231388898
"sdF245",0.119958210918977
"sdF246",0.120081039125222
"sdF247",0.120178302724335
"sdF248",0.120252192800131
"sdF249",0.120325317570689
"sdF250",0.120459266966095
"sdF251",0.120766751723835
"sdF252",0.121423310483303
"sdF253",0.122654050404163
"sdF254",0.124700783100898
"sdF255",0.127752818464382
"sdF256",0.131887864747898
"capConv",6
"loglik",-740.929999922998
"AICc",1516.08409358455
"AIC",1515.859999846
"sdTheta1",NA
"sdTheta2",0.0854600084511861
"sdTheta3",0.124219036155764
"sdTheta4",0.0821030964628989
"sdTheta5",0.0983391542154027
"sdTheta6",0.0279581960637787
"sdTheta7",0.0217551404472907
"sdTheta8",0.0938401559743189
"sdTheta9",0.198794475727359
"sdTheta10",0.138029194014249
"sdTheta11",0.18500566401054
"sdTheta12",0.14121440170537
"sdTheta13",0.345129092100943
"sdTheta14",0.534524718650792
"sdTheta15",0.435749226867652
"sdTheta16",0.0900900907187854
"b1",0.459717569757924
"b2",0.404443108952036
"b3",0.19487410397374
"b4",-0.112596374065294
"b5",-0.338086723497897
"b6",-0.308348420475873
"b7",0.0321690850604632
"b8",-0.0898766977569166
"b9",-0.0556604506490977
"b10",0.0845042393561653
"b11",0.441674308651111
"b12",-0.00170198683839098
"b13",-0.165489779399686
"b14",0.0414513776398711
"b15",-0.717728924246905
"b16",0.434691602166182
"b17",-0.159600930858262
"b18",0.391564591824315
"b19",0.157184706736351
"b20",0.0649706182386993
"b21",-0.572819155620105
"b22",0.218275643797489
"b23",-0.573865753948732
"b24",0.440441550023883
"b25",-0.578429486180237
"b26",0.476211336462975
"b27",0.691642178799844
"b28",-0.578795009611915
"b29",-0.291599509599926
"b30",-0.0927352991377885
"b31",0.597942826530664
"b32",0.198163555348411
"b33",0.721121317415726
"b34",-0.27986122021328
"b35",-0.550697821125018
"b36",-0.521069968446809
"b37",0.10170024481123
"b38",0.142422113691784
"b39",0.360815691621634
"b40",-0.049150569995424
"b41",-0.569537798825759
"b42",0.437864360696814
"b43",-0.00397867180777329
"b44",0.103017039537585
"b45",0.227967426675684
"b46",-0.461736089994744
"b47",-0.0425109632058248
"b48",0.127040673255013
"b49",-0.967743331483038
"b50",0.0219078829593291
"b51",-0.109374049969525
"b52",0.143634203500986
"b53",0.570633415727899
"b54",0.0798328449751315
"b55",0.478426181594829
"b56",-0.235705114161775
"b57",0.194453089449945
"b58",0.0357411451604926
"b59",-0.879346824509131
"b60",-0.0427968776171669
"b61",-0.285004604158047
"b62",0.202202886317484
"b63",-0.181807538115526
"b64",0.766130444074705
"b65",0.111051543328651
"b66",0.361064899658026
"b67",-0.428494751629817
"b68",0.0528193737076776
"b69",-0.525906829891848
"b70",-0.185742644595104
"b71",0.670465051669758
"b72",0.0911985825874085
"b73",0.621364515266809
"b74",0.300351484537984
"b75",-0.0554981489328432
"b76",-0.228081699054606
"b77",0.378941827974601
"b78",0.14969356927702
"b79",-0.00456047941751368
"b80",-0.135978159536386
"b81",0.253152424745501
"b82",-0.28069886833043
"b83",-0.000346503284817248
"b84",-0.238264247794352
"b85",-0.413622690800327
"b86",0.0010218393087766
"b87",-0.619268450770387
"b88",0.0846893338663925
"b89",-0.0580634026105434
"b90",-0.250803465913923
"b91",-0.630184280814114
"b92",0.065412964208929
"b93",0.0679249955865163
"b94",0.229863859623672
"b95",0.150412424850272
"b96",0.0419161913858966
"b97",0.121202003008562
"b98",-0.17666033278714
"b99",-0.822027805423015
"b100",0.0602347278767224
"b101",0.236751434072546
"b102",-0.143999412122443
"b103",-0.0275930895893472
"b104",0.645690719868101
"b105",-0.65352443620296
"b106",-0.0430388132139581
"b107",0.569409896697395
"b108",-0.247309878260403
"b109",-0.188326554029699
"b110",-0.263003679316403
"b111",0.813154010600232
"b112",-0.467984272140902
"b113",0.0247042805302468
"b114",-0.0662971426165469
"b115",0.35693895692149
"b116",-0.162501126336304
"b117",0.34533699569685
"b118",0.3525241057093
"b119",-0.0148528000302175
"b120",-0.33902736702918
"b121",0.296222868887498
"b122",-0.407070409479798
"b123",-0.159198837655534
"b124",0.0994115288806216
"b125",1.11965977669523
"b126",-0.467751763840865
"b127",0.0492099843860724
"b128",0.605270461762424
"b129",0.348324428024188
"b130",0.301399098169434
"b131",0.0780220506050611
"b132",0.285241567475667
"b133",-0.406658417895143
"b134",-0.606450417386475
"b135",0.139217599963403
"b136",0.478800485383325
"b137",-0.128959276936504
"b138",0.191687322909274
"b139",-0.471708314143782
"b140",-0.29582580899171
"b141",-0.349985199438766
"b142",-0.0818549514931915
"b143",0.480049042689447
"b144",-0.10042606987275
"b145",-0.407934091046619
"b146",-0.613149244417299
"b147",0.472161500422948
"b148",-0.732954226544365
"b149",-0.612236565370852
"b150",-0.386599610957264
"b151",-0.33573070356885
"b152",0.407941203931233
"b153",0.415245314672731
"b154",-0.694227394902517
"b155",-0.515307382793135
"b156",-0.214433973342892
"b157",0.367811818888089
"b158",0.0689499202529488
"b159",-0.0645459595533858
"b160",-0.241158693112996
"b161",0.206334780238782
"b162",-0.0812508722236861
"b163",-0.0946551852584606
"b164",0.135010955350312
"b165",-0.236768001167611
"b166",-0.0365427338081222
"b167",-0.448728181720738
"b168",0.212456313752818
"b169",0.0658966880854615
"b170",-0.221388609518017
"b171",0.782298444136651
"b172",0.759206987726017
"b173",-0.974854812780574
"b174",0.835094579321599
"b175",-0.53331153389331
"b176",0.0677376514448062
"b177",-0.185947565688932
"b178",0.363988535623929
"b179",0.453422858357557
"b180",-0.695312213919182
"b181",0.855475144101971
"b182",0.0628873494646254
"b183",-0.310590277320892
"b184",0.292237385013023
"b185",0.283890301478302
"b186",-0.418709434827868
"b187",-0.240313633641057
"b188",-0.434776002459806
