"","x"
"theta1",0.757637904416021
"theta2",0.995840155981752
"theta3",1.02132712903512
"theta4",0.18209113951747
"theta5",-1.40640904586018
"theta6",1.48316109973929
"theta7",-0.496552401551734
"betaHat",1.04062900176779
"fHat1",-0.306796672534901
"fHat2",0.951027062309549
"fHat3",2.20104935676375
"fHat4",2.91096411074673
"fHat5",3.22268977620357
"fHat6",3.64208301315968
"fHat7",3.80553687640455
"fHat8",3.71153321111823
"fHat9",3.35793422326756
"fHat10",2.96762716597352
"fHat11",2.0742068961176
"fHat12",0.964986326447395
"fHat13",-0.0979763610725115
"fHat14",-1.28546131983634
"fHat15",-2.239926779063
"fHat16",-3.33171028912773
"fHat17",-4.45144831768896
"fHat18",-5.19173627181991
"fHat19",-5.47649826732695
"fHat20",-6.0068454834649
"fHat21",-6.15747489936422
"fHat22",-5.96729153598153
"fHat23",-5.56885440144686
"fHat24",-5.0337374506531
"fHat25",-4.41134406409058
"fHat26",-3.74020454682091
"fHat27",-2.33136654279347
"fHat28",-0.86522693833394
"sdBeta",0.0278257570499953
"sdF1",0.930724894618386
"sdF2",0.920923870563553
"sdF3",0.916983512603911
"sdF4",0.914774389263248
"sdF5",0.914307773865572
"sdF6",0.914261239059324
"sdF7",0.914258468705677
"sdF8",0.914258308003064
"sdF9",0.914258299545503
"sdF10",0.914258299134262
"sdF11",0.914258299114661
"sdF12",0.914258299113772
"sdF13",0.91425829911373
"sdF14",0.914258299113733
"sdF15",0.914258299113734
"sdF16",0.914258299113733
"sdF17",0.914258299113732
"sdF18",0.914258299113732
"sdF19",0.914258299113773
"sdF20",0.914258299113595
"sdF21",0.914258299135264
"sdF22",0.914258299085755
"sdF23",0.914258308405185
"sdF24",0.91425831692366
"sdF25",0.914261604783776
"sdF26",0.91427934418573
"sdF27",0.915096134030433
"sdF28",0.919907315988317
"biasBeta",3.78490641606e-14
"biasF1",0.00579113639234648
"biasF2",-0.00266196784886191
"biasF3",-0.000734466145116137
"biasF4",-0.000282893628352147
"biasF5",-0.000377993210233671
"biasF6",-0.000423597747498117
"biasF7",-0.000431920344730163
"biasF8",-0.00042063746045827
"biasF9",-0.000388831523039937
"biasF10",-0.000337428424298493
"biasF11",-0.000269086299044492
"biasF12",-0.000187255604270679
"biasF13",-9.60357211979498e-05
"biasF14",-7.85906062450437e-12
"biasF15",9.60357227164643e-05
"biasF16",0.000187255804977249
"biasF17",0.000269086095034267
"biasF18",0.000337423488841353
"biasF19",0.000388840983022151
"biasF20",0.000420755232649062
"biasF21",0.000431577445663966
"biasF22",0.00042088404750696
"biasF23",0.000388814646502721
"biasF24",0.000334280501818482
"biasF25",0.000272459311224549
"biasF26",0.000264534593775768
"biasF27",-5.66281505340466e-05
"biasF28",-0.00184012777200191
"capConv",1
