"","x"
"theta1",0.751352765359981
"theta2",1.00125445544329
"theta3",1.00455870502078
"theta4",0.365611927272012
"theta5",-1.28682783757536
"theta6",0.0129873857856304
"theta7",-0.0578107054259411
"betaHat",0.771746711587716
"fHat1",0.323637482773517
"fHat2",1.60295483959019
"fHat3",2.45616023285483
"fHat4",3.19908924149533
"fHat5",3.85853451856582
"fHat6",4.11390639845809
"fHat7",4.12610161704945
"fHat8",3.93763702765218
"fHat9",3.52005521388709
"fHat10",2.97147316049993
"fHat11",2.32124598471554
"fHat12",1.45130335151523
"fHat13",0.464039558233889
"fHat14",-0.790216422946884
"fHat15",-1.60921793724292
"fHat16",-2.73848173054988
"fHat17",-3.83314172818262
"fHat18",-4.80713973002744
"fHat19",-5.38275934201624
"fHat20",-5.57008024363508
"fHat21",-5.4044798623762
"fHat22",-5.52308487227214
"fHat23",-5.26133182763104
"fHat24",-4.8064838513977
"fHat25",-4.02798600319458
"fHat26",-2.98469352498847
"fHat27",-1.85818917612388
"fHat28",-0.751388155684698
"sdBeta",0.0279749096563553
"sdF1",0.858577813869065
"sdF2",0.851593705162283
"sdF3",0.850070970401565
"sdF4",0.849306742582218
"sdF5",0.848698167107783
"sdF6",0.848265291115365
"sdF7",0.847999231441342
"sdF8",0.847856867387132
"sdF9",0.847790088764967
"sdF10",0.847762501924282
"sdF11",0.847752432024426
"sdF12",0.847749176286789
"sdF13",0.847748242242515
"sdF14",0.847748004110496
"sdF15",0.847747950090973
"sdF16",0.847747939174639
"sdF17",0.847747937207177
"sdF18",0.847747936890526
"sdF19",0.847747936844994
"sdF20",0.847747936838932
"sdF21",0.847747936859954
"sdF22",0.847747936796785
"sdF23",0.847747946473731
"sdF24",0.847747948380338
"sdF25",0.847751444300732
"sdF26",0.847768250440789
"sdF27",0.848641775025831
"sdF28",0.853703306211117
"biasBeta",-3.73405733417043e-14
"biasF1",0.00448026086196113
"biasF2",-0.0022253286771531
"biasF3",-0.000507426059394342
"biasF4",-0.000336055811960521
"biasF5",-0.000433802606323981
"biasF6",-0.000449234215084991
"biasF7",-0.000441156779573418
"biasF8",-0.000421085530065229
"biasF9",-0.000385243022418463
"biasF10",-0.000332788389078506
"biasF11",-0.000264915237940713
"biasF12",-0.000184238146444651
"biasF13",-9.44696956439589e-05
"biasF14",-1.50429466105884e-09
"biasF15",9.44589898624962e-05
"biasF16",0.000184181656832122
"biasF17",0.000264668546111659
"biasF18",0.00033188403562965
"biasF19",0.000382457466554992
"biasF20",0.000413848022533109
"biasF21",0.000424491347437994
"biasF22",0.000413969954415998
"biasF23",0.000382451521695339
"biasF24",0.000328852612785813
"biasF25",0.000267666034807927
"biasF26",0.000259677875152423
"biasF27",-5.40182982367438e-05
"biasF28",-0.00181083939557105
"capConv",1
