"","x"
"theta1",9.37919457532233
"theta2",2.75536647604241
"theta3",0.462621583917739
"theta4",-0.152342518751904
"theta5",0.472128803433622
"theta6",0.775446358132795
"theta7",0.469554805298191
"theta8",0.534820911088495
"theta9",-0.997734972398237
"theta10",-0.826609528456521
"theta11",0.446765747996619
"theta12",0.175619354843307
"theta13",-2.3215888355766
"theta14",0.396514145665015
"theta15",-0.147092766658865
"betaHat1",-6.34168102960809
"betaHat2",-0.374678992687354
"betaHat3",-0.0606003618829908
"betaHat4",-2.73274473265597
"betaHat5",0.441207050565037
"betaHat6",0.194864396977363
"f1Hat1",0.49838197935924
"f1Hat2",0.198420597133597
"f1Hat3",-0.103208647827002
"f1Hat4",-0.331095392420274
"f1Hat5",-0.476949098121518
"f1Hat6",-0.576549169794727
"f1Hat7",-0.635867054488315
"f1Hat8",-0.669940249086181
"f1Hat9",-0.698974748123995
"f1Hat10",-0.711393782167636
"f1Hat11",-0.691145102781753
"f1Hat12",-0.6387296478549
"f1Hat13",-0.543627011417208
"f1Hat14",-0.41052835008655
"f1Hat15",-0.256812440710677
"f1Hat16",-0.0828928243961816
"f1Hat17",0.133448017246088
"f1Hat18",0.379434146043212
"f1Hat19",0.634999914636989
"f1Hat20",0.872937694826549
"f1Hat21",1.06876643478181
"f1Hat22",1.20974375773089
"f1Hat23",1.27985045595978
"f1Hat24",1.27254335238673
"f1Hat25",1.20487008499925
"f1Hat26",1.08923443661785
"f1Hat27",0.944421385000739
"f1Hat28",0.74975642344412
"f2Hat1",3.01963765808809
"f2Hat2",2.92239797049945
"f2Hat3",2.84756491997409
"f2Hat4",2.81039959909084
"f2Hat5",2.80787176772653
"f2Hat6",2.82474938290895
"f2Hat7",2.86505811624122
"f2Hat8",2.9311539807061
"f2Hat9",3.01716679072108
"f2Hat10",3.11911586256952
"f2Hat11",3.23254953051382
"f2Hat12",3.35126566599978
"f2Hat13",3.46523901442386
"f2Hat14",3.55964846870872
"f2Hat15",3.62200738525819
"f2Hat16",3.64292672965107
"f2Hat17",3.6305168240579
"f2Hat18",3.6003598251333
"f2Hat19",3.57054168719105
"f2Hat20",3.54628835134206
"f2Hat21",3.52241753157149
"f2Hat22",3.49649208772343
"f2Hat23",3.46391112204511
"f2Hat24",3.42117318198232
"f2Hat25",3.36996966245042
"f2Hat26",3.3046300348196
"f2Hat27",3.22025968722161
"f2Hat28",3.12231310255509
"sdBeta1",5.45703163611672
"sdBeta2",1.04360395940473
"sdBeta3",0.427925765224307
"sdBeta4",4.72259791771793
"sdBeta5",0.903479854193974
"sdBeta6",0.370347267947108
"sdF11",0.265265730263231
"sdF12",0.262745501697618
"sdF13",0.2607888210712
"sdF14",0.259515340927251
"sdF15",0.258838599505445
"sdF16",0.258618457521396
"sdF17",0.258781433990353
"sdF18",0.259319861809288
"sdF19",0.260251665345622
"sdF110",0.261600837871705
"sdF111",0.263382007192155
"sdF112",0.265584133915181
"sdF113",0.268167569605975
"sdF114",0.271041308060414
"sdF115",0.274072291479573
"sdF116",0.277090162662392
"sdF117",0.279899867829891
"sdF118",0.282289591730676
"sdF119",0.284055192436997
"sdF120",0.285020219378993
"sdF121",0.285080894393811
"sdF122",0.284211778897895
"sdF123",0.28248136156118
"sdF124",0.280050359621332
"sdF125",0.277152395204144
"sdF126",0.274048875842698
"sdF127",0.270970033688582
"sdF128",0.26804039649153
"sdF21",0.224998525810109
"sdF22",0.223994070443824
"sdF23",0.22396302567179
"sdF24",0.224802101554101
"sdF25",0.226234971514906
"sdF26",0.22800593201966
"sdF27",0.229970244523027
