"","x"
"theta1",5.31680734713038
"theta2",2.04003863337189
"theta3",13.658917854956
"theta4",-0.176293210604119
"theta5",3.53929335651025
"theta6",0.529539316327376
"theta7",0.439441723243705
"theta8",1.77125760958829
"theta9",1.22332699783626
"theta10",0.868205389503076
"theta11",0.610930180520515
"betaHat1",-1.64325732434831
"betaHat2",-1.62675088045694
"f1Hat1",-0.0362499408238009
"f1Hat2",-0.130126202703757
"f1Hat3",-0.223818174937751
"f1Hat4",-0.314005308013292
"f1Hat5",-0.398506447743476
"f1Hat6",-0.477392209153579
"f1Hat7",-0.550970494500127
"f1Hat8",-0.617153382171545
"f1Hat9",-0.67144406393979
"f1Hat10",-0.711485145955777
"f1Hat11",-0.737998384430869
"f1Hat12",-0.751150652476857
"f1Hat13",-0.752979507542663
"f1Hat14",-0.746757006182107
"f1Hat15",-0.736350804269361
"f1Hat16",-0.723818944301653
"f1Hat17",-0.70936850401281
"f1Hat18",-0.693924373397228
"f1Hat19",-0.677604446297768
"f1Hat20",-0.657545857893181
"f1Hat21",-0.629742863234707
"f1Hat22",-0.5926382031529
"f1Hat23",-0.544544353233159
"f1Hat24",-0.484049736777066
"f1Hat25",-0.411620528783654
"f1Hat26",-0.330198327125969
"f1Hat27",-0.241969485950917
"f1Hat28",-0.146975794581181
"f1Hat29",-0.0460219389213586
"f1Hat30",0.0593232004359239
"f1Hat31",0.167734772537701
"f1Hat32",0.278755518122784
"f1Hat33",0.390443765133387
"f1Hat34",0.501142962891679
"f1Hat35",0.611433794069054
"f1Hat36",0.722186940877853
"f1Hat37",0.83421517747926
"f1Hat38",0.945712678957972
"f1Hat39",1.05025082578963
"f1Hat40",1.14183044539719
"f1Hat41",1.21753987875633
"f1Hat42",1.27663417167217
"f1Hat43",1.31950193272445
"f1Hat44",1.34869617764067
"f1Hat45",1.36801799508133
"f1Hat46",1.37723444151272
"f1Hat47",1.37432533534127
"f1Hat48",1.35904471677491
"f1Hat49",1.3319746660298
"f1Hat50",1.29219759062971
"f1Hat51",1.23828319714141
"f1Hat52",1.17022623949881
"f1Hat53",1.08928403432762
"f1Hat54",0.996634929235698
"f1Hat55",0.894748842680441
"f1Hat56",0.787842847340239
"f2Hat1",2.85753561630834
"f2Hat2",2.8545486991066
"f2Hat3",2.85174454157029
"f2Hat4",2.85025255436753
"f2Hat5",2.85104385112809
"f2Hat6",2.8547609745837
"f2Hat7",2.86114214391723
"f2Hat8",2.86937615006961
"f2Hat9",2.87933628848055
"f2Hat10",2.89212554797003
"f2Hat11",2.909408736489
"f2Hat12",2.93306161407705
"f2Hat13",2.96477104924164
"f2Hat14",3.00523575996751
"f2Hat15",3.05392097579091
"f2Hat16",3.11014088472952
"f2Hat17",3.17270878966764
"f2Hat18",3.24015826415679
"f2Hat19",3.31041439144758
"f2Hat20",3.38147680840365
"f2Hat21",3.45103060334737
"f2Hat22",3.51630433558082
"f2Hat23",3.5751592296469
"f2Hat24",3.62544488020203
"f2Hat25",3.66494729110043
"f2Hat26",3.6924463111293
"f2Hat27",3.70792892254288
"f2Hat28",3.71259464225353
"f2Hat29",3.70779252941263
"f2Hat30",3.69501745276081
"f2Hat31",3.67610089924422
"f2Hat32",3.65298039069868
"f2Hat33",3.62783857580579
"f2Hat34",3.60306954832446
"f2Hat35",3.58134709391092
"f2Hat36",3.56473839948384
"f2Hat37",3.55363252608518
"f2Hat38",3.54773232037772
"f2Hat39",3.54663559755263
"f2Hat40",3.55003339518683
"f2Hat41",3.55750225177841
"f2Hat42",3.56803349768938
"f2Hat43",3.58009145758264
"f2Hat44",3.5917155419788
"f2Hat45",3.60147841544894
"f2Hat46",3.60829573566625
"f2Hat47",3.61111443487254
"f2Hat48",3.6084874934929
"f2Hat49",3.5986360734718
"f2Hat50",3.58020854415579
"f2Hat51",3.55262932106352
"f2Hat52",3.51591572121553
"f2Hat53",3.47095050761506
"f2Hat54",3.41914308212115
"f2Hat55",3.36234141779041
"f2Hat56",3.3029501970517
"sdBeta1",10.2389498218005
"sdBeta2",5.2723394164725
"sdF11",0.538899903054143
"sdF12",0.53669742858108
"sdF13",0.534883763246576
"sdF14",0.53345852941939
"sdF15",0.532396153504703
"sdF16",0.531649148184844
"sdF17",0.531156831800065
"sdF18",0.530856182353934
"sdF19",0.530689264478594
"sdF110",0.530609173968727
"sdF111",0.530579727262634
"sdF112",0.530575955990334
"sdF113",0.530581370198298
"sdF114",0.530587478949728
"sdF115",0.530589182632718
"sdF116",0.530584909906922
"sdF117",0.530575893711593
"sdF118",0.530563480740609
"sdF119",0.530549040703921
"sdF120",0.530533663046559
"sdF121",0.530518985256494
"sdF122",0.530506082275902
"sdF123",0.530495401798301
"sdF124",0.530486896594569
"sdF125",0.530480455438501
"sdF126",0.530475527848416
"sdF127",0.530472307681622
"sdF128",0.530470627288017
"sdF129",0.530470521621368
"sdF130",0.530471686778972
"sdF131",0.530474412616878
"sdF132",0.530478610211713
"sdF133",0.530484391919816
"sdF134",0.530491402516946
"sdF135",0.530499561235489
"sdF136",0.530508787555355
"sdF137",0.530519009042103
"sdF138",0.530530250405398
"sdF139",0.530542801518579
"sdF140",0.530555148608343
"sdF141",0.530564979205383
"sdF142",0.530569900323716
"sdF143",0.530569042517074
"sdF144",0.530562591094698
"sdF145",0.530551148391723
"sdF146",0.530539632371105
"sdF147",0.530535982259866
"sdF148",0.530554462650357
"sdF149",0.530617260765443
"sdF150",0.530758807663387
"sdF151",0.531025058619623
"sdF152",0.531472901442927
"sdF153",0.532164792466352
"sdF154",0.53316240867635
"sdF155",0.534514820466711
"sdF156",0.536249616775226
"sdF21",0.285870281793466
"sdF22",0.282894784603221
"sdF23",0.280510852887258
"sdF24",0.278723056641206
"sdF25",0.277482345884144
"sdF26",0.276696233390905
"sdF27",0.276250514269464
"sdF28",0.276033754311865
"sdF29",0.275952082432682
"sdF210",0.275938717906539
"sdF211",0.27594937718569
"sdF212",0.275960247634312
"sdF213",0.275960264737988
"sdF214",0.275949102394935
"sdF215",0.275927850746251
"sdF216",0.275900157989346
"sdF217",0.275871836258953
"sdF218",0.275846134446812
"sdF219",0.275824527207616
"sdF220",0.275807039238109
"sdF221",0.275794694320332
"sdF222",0.275787591109143
"sdF223",0.275784842735282
"sdF224",0.275785007527517
"sdF225",0.275786894667581
"sdF226",0.275788644283918
